id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region,profitability,risk_flag,loan_year,default_rate_indicator,income_to_loan_ratio
8984694,2013,2013-11-01,1012016,4.0,RENT,1,Low,85000,1,16000,60,2,INDIVIDUAL,1,credit_card,1,High,2,GOOD LOAN,0,14.3,C,3,27.87,9369.54,5325.5,0.0,374.79,Northern-Irl,-6630.459999999999,0,2013,0.13883089770354906,5.3125
1368230,2012,2012-06-01,1072015,10.0,MORTGAGE,3,Low,50000,1,6000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,6.03,A,1,3.65,6573.55611,6000.0,0.0,182.62,Northern-Irl,573.5561100000004,0,2012,0.15946336078797657,8.333333333333334
29514038,2014,2014-10-01,1012016,5.0,RENT,1,Low,28000,1,7750,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,10.15,B,2,29.75,3759.3,2946.56,0.0,250.62,leinster,-3990.7,0,2014,0.07904642409033877,3.6129032258064515
6718123,2013,2013-08-01,1042015,4.0,MORTGAGE,3,Low,75000,1,30000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,BAD LOAN,1,16.78,C,3,14.96,19946.95,7378.11,5119.47,742.04,Northern-Irl,-10053.05,1,2013,0.13883089770354906,2.5
7378069,2013,2013-09-01,1032015,8.0,MORTGAGE,3,Low,42000,1,18250,60,2,INDIVIDUAL,1,credit_card,1,High,2,BAD LOAN,1,17.76,D,4,32.4,10906.46,3905.43,2608.23,461.06,Northern-Irl,-7343.540000000001,1,2013,0.13883089770354906,2.3013698630136985
803977,2011,2011-07-01,1072014,5.0,MORTGAGE,3,Low,42000,1,6000,36,1,INDIVIDUAL,1,car,2,Low,1,GOOD LOAN,0,5.42,A,1,4.4,6513.553825,6000.0,0.0,180.96,ulster,513.553825,0,2011,0.15083210448704445,7.0
3845339,2013,2013-04-01,1112015,1.0,MORTGAGE,3,Low,40000,1,7950,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,11.14,B,2,25.32,9359.500001,7950.0,0.0,260.81,munster,1409.5000010000003,0,2013,0.13883089770354906,5.031446540880503
7065192,2013,2013-09-01,1032015,10.0,MORTGAGE,3,Low,57000,1,20000,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,10.64,B,2,18.8,22605.0243,20000.0,0.0,651.37,ulster,2605.024300000001,0,2013,0.13883089770354906,2.85
547251,2010,2010-07-01,1082013,8.0,RENT,1,Low,100000,1,25000,36,1,INDIVIDUAL,1,other,4,High,2,GOOD LOAN,0,15.58,D,4,20.78,31444.64,24999.99,0.0,873.76,leinster,6444.639999999999,0,2010,0.14953933380581147,4.0
3806250,2013,2013-03-01,1122015,2.0,MORTGAGE,3,Low,58000,1,6500,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,8.9,A,1,11.83,6804.0,5884.33,0.0,206.4,Northern-Irl,304.0,0,2013,0.13883089770354906,8.923076923076923
1864775,2012,2012-11-01,1022014,10.0,MORTGAGE,3,Low,45000,1,4800,36,1,INDIVIDUAL,1,major_purchase,8,Low,1,GOOD LOAN,0,12.12,B,2,15.41,5403.15,4800.0,0.0,159.71,munster,603.1499999999996,0,2012,0.15946336078797657,9.375
3368048,2013,2013-02-01,1082013,2.0,MORTGAGE,3,Low,77000,1,12000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,13.11,B,2,11.12,12741.07,12000.0,0.0,404.97,Northern-Irl,741.0699999999997,0,2013,0.13883089770354906,6.416666666666667
7083139,2013,2013-09-01,1092014,4.0,OWN,2,Low,65000,1,6000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,7.9,A,1,20.16,6401.367417,6000.0,0.0,187.75,cannught,401.3674170000004,0,2013,0.13883089770354906,10.833333333333334
4786369,2013,2013-05-01,1102015,3.0,MORTGAGE,3,Low,26000,1,5250,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,10.16,B,2,13.48,6076.510667,5250.0,0.0,169.8,cannught,826.5106669999996,0,2013,0.13883089770354906,4.9523809523809526
5619356,2013,2013-06-01,1072015,9.0,MORTGAGE,3,Low,65000,1,10000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,11.14,B,2,19.91,11647.28,10000.0,0.0,328.06,munster,1647.2800000000007,0,2013,0.13883089770354906,6.5
6552637,2013,2013-08-01,1092014,2.0,MORTGAGE,3,Low,59000,1,23800,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,BAD LOAN,1,16.78,C,3,16.37,10001.22,3317.95,2937.24,588.68,munster,-13798.78,1,2013,0.13883089770354906,2.4789915966386555
34752726,2014,2014-11-01,1122015,0.5,RENT,1,Low,49464,1,14975,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,15.99,D,4,13.57,6823.38,4606.18,0.0,526.41,leinster,-8151.62,0,2014,0.07904642409033877,3.3031051752921536
460545,2009,2009-11-01,1052012,2.0,RENT,1,Low,65500,1,20000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,13.22,C,3,9.07,24073.64,20000.0,0.0,676.02,leinster,4073.6399999999994,0,2009,0.14492753623188406,3.275
993964,2011,2011-10-01,1112014,10.0,MORTGAGE,3,Low,48000,1,7000,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,6.62,A,1,16.0,7736.092664,7000.0,0.0,214.93,Northern-Irl,736.0926639999998,0,2011,0.15083210448704445,6.857142857142857
7689069,2013,2013-10-01,1082015,4.0,MORTGAGE,3,Low,76800,1,20000,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,9.25,A,1,19.83,22501.10878,20000.0,0.0,638.33,ulster,2501.1087799999987,0,2013,0.13883089770354906,3.84
5154588,2013,2013-05-01,1122013,7.0,RENT,1,Low,31500,1,5725,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,14.33,C,3,28.04,6170.22,5725.0,0.0,196.59,ulster,445.22000000000025,0,2013,0.13883089770354906,5.502183406113537
15431041,2014,2014-10-01,1022015,5.0,MORTGAGE,3,Medium,115600,2,35000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,20.99,E,5,21.45,37566.01,35000.0,0.0,946.68,cannught,2566.010000000002,0,2014,0.07904642409033877,3.302857142857143
3097320,2013,2013-01-01,1062014,8.0,RENT,1,Medium,125000,2,35000,36,1,INDIVIDUAL,1,credit_card,1,High,2,BAD LOAN,1,15.31,C,3,30.56,22613.82,13596.26,3055.85,1218.61,Northern-Irl,-12386.18,1,2013,0.13883089770354906,3.5714285714285716
31487421,2014,2014-11-01,1012016,10.0,MORTGAGE,3,Medium,166000,2,25000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,13.35,C,3,17.01,10968.33,7902.32,0.0,846.57,leinster,-14031.67,0,2014,0.07904642409033877,6.64
1359692,2012,2012-06-01,1012016,6.0,MORTGAGE,3,Low,54000,1,16950,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,19.22,D,4,20.2,18546.1,10086.25,0.0,441.75,Northern-Irl,1596.0999999999985,0,2012,0.15946336078797657,3.185840707964602
806771,2011,2011-07-01,1032013,6.0,MORTGAGE,3,Medium,120000,2,30000,36,1,INDIVIDUAL,1,other,4,High,2,BAD LOAN,1,16.49,D,4,12.17,20176.39,13976.98,0.0,1061.99,munster,-9823.61,1,2011,0.15083210448704445,4.0
28252193,2014,2014-10-01,1012016,1.0,MORTGAGE,3,Low,63900,1,6000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,14.99,C,3,25.78,3119.55,2179.58,0.0,207.97,leinster,-2880.45,0,2014,0.07904642409033877,10.65
36980380,2014,2014-12-01,1012016,2.0,RENT,1,Low,43000,1,1000,36,1,INDIVIDUAL,1,other,4,High,2,GOOD LOAN,0,14.99,C,3,15.99,464.04,310.63,0.0,34.67,leinster,-535.96,0,2014,0.07904642409033877,43.0
31537616,2014,2014-10-01,1022015,5.0,MORTGAGE,3,Low,76000,1,25000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,18.99,E,5,25.58,26160.35,25000.0,0.0,916.28,ulster,1160.3499999999985,0,2014,0.07904642409033877,3.04
32028166,2014,2014-10-01,1022015,10.0,MORTGAGE,3,Low,80000,1,10000,36,1,INDIVIDUAL,1,other,4,High,2,GOOD LOAN,0,13.98,C,3,10.78,10460.01,10000.0,0.0,341.68,cannught,460.0100000000002,0,2014,0.07904642409033877,8.0
675685,2011,2011-02-01,1012016,3.0,RENT,1,Low,60000,1,25000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,15.65,D,4,18.05,34967.71,23802.9,0.0,603.32,ulster,9967.71,0,2011,0.15083210448704445,2.4
496695,2010,2010-03-01,1122011,7.0,RENT,1,Low,34000,1,10000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,14.22,C,3,17.22,11823.77,10000.0,0.0,342.85,ulster,1823.7700000000004,0,2010,0.14953933380581147,3.4
7375701,2013,2013-10-01,1122015,10.0,RENT,1,Low,53000,1,10000,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,11.99,B,2,9.26,8634.48,6854.54,0.0,332.1,Northern-Irl,-1365.5200000000004,0,2013,0.13883089770354906,5.3
31347197,2014,2014-10-01,1122015,10.0,RENT,1,Low,58000,1,16300,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,20.99,E,5,6.08,8594.25,5166.66,0.0,614.02,munster,-7705.75,0,2014,0.07904642409033877,3.558282208588957
8998262,2013,2013-11-01,1122015,10.0,MORTGAGE,3,Low,75689,1,14575,60,2,INDIVIDUAL,1,other,4,High,2,GOOD LOAN,0,22.4,E,5,31.77,10146.45,4213.44,0.0,405.87,leinster,-4428.549999999999,0,2013,0.13883089770354906,5.193070325900514
33050008,2014,2014-10-01,1072015,10.0,RENT,1,Low,34500,1,5000,36,1,INDIVIDUAL,1,home_improvement,7,Low,1,BAD LOAN,1,12.99,C,3,14.68,1343.99,950.01,0.0,168.45,Northern-Irl,-3656.01,1,2014,0.07904642409033877,6.9
30335406,2014,2014-10-01,1012016,0.5,RENT,1,Low,43000,1,8125,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,13.98,C,3,14.7,4157.99,2979.97,0.0,277.62,Northern-Irl,-3967.01,0,2014,0.07904642409033877,5.292307692307692
6889596,2013,2013-09-01,1012016,0.5,RENT,1,Low,33510,1,10500,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,15.88,C,3,22.58,10311.44,7715.24,0.0,368.53,ulster,-188.5599999999995,0,2013,0.13883089770354906,3.1914285714285713
1256234,2012,2012-05-01,1022013,3.0,OWN,2,Low,80000,1,14500,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,16.29,C,3,9.41,16112.08,14500.0,0.0,511.86,Northern-Irl,1612.08,0,2012,0.15946336078797657,5.517241379310345
1624129,2012,2012-10-01,1122014,10.0,MORTGAGE,3,Low,54000,1,24250,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,19.72,D,4,23.04,31410.49546,24250.0,0.0,897.77,munster,7160.495459999998,0,2012,0.15946336078797657,2.2268041237113403
7315118,2013,2013-10-01,1122015,6.05,MORTGAGE,3,Low,67140,1,30000,60,2,INDIVIDUAL,1,credit_card,1,High,2,GOOD LOAN,0,18.55,D,4,11.44,40525.17994,30000.0,0.0,770.81,leinster,10525.179940000002,0,2013,0.13883089770354906,2.238
32419114,2014,2014-10-01,1122015,10.0,MORTGAGE,3,Low,86500,1,13400,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,14.49,C,3,32.63,6434.95,4536.64,0.0,461.18,ulster,-6965.05,0,2014,0.07904642409033877,6.455223880597015
1568925,2012,2012-10-01,1052014,5.0,RENT,1,Medium,110000,2,35000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,15.31,C,3,25.7,41671.50707,35000.0,0.0,1218.61,Northern-Irl,6671.50707,0,2012,0.15946336078797657,3.142857142857143
8276062,2013,2013-10-01,1122015,7.0,RENT,1,Low,65000,1,15000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,17.76,D,4,14.68,14052.38,10010.34,0.0,540.49,cannught,-947.6200000000008,0,2013,0.13883089770354906,4.333333333333333
29224152,2014,2014-10-01,1012016,2.0,MORTGAGE,3,Low,60000,1,10000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,6.03,A,1,7.54,4565.4,3948.69,0.0,304.36,Northern-Irl,-5434.6,0,2014,0.07904642409033877,6.0
2014869,2012,2012-11-01,1112015,10.0,MORTGAGE,3,Medium,110000,2,6000,36,1,INDIVIDUAL,1,wedding,5,Low,1,GOOD LOAN,0,7.62,A,1,6.33,6730.845839,6000.0,0.0,186.97,cannught,730.8458389999996,0,2012,0.15946336078797657,18.333333333333332
837281,2011,2011-08-01,1032013,9.0,MORTGAGE,3,Low,100000,1,30000,60,2,INDIVIDUAL,1,credit_card,1,High,2,GOOD LOAN,0,22.11,G,7,8.6,39513.51,30000.0,0.0,830.45,Northern-Irl,9513.510000000002,0,2011,0.15083210448704445,3.3333333333333335
1106439,2012,2012-02-01,1042012,7.0,MORTGAGE,3,Low,84000,1,35000,60,2,INDIVIDUAL,1,home_improvement,7,Low,1,BAD LOAN,1,11.71,B,2,2.71,2738.62,867.0,1193.54,773.44,ulster,-32261.38,1,2012,0.15946336078797657,2.4
10014675,2013,2013-12-01,1122015,7.0,RENT,1,Medium,103000,2,10000,60,2,INDIVIDUAL,1,moving,10,High,2,GOOD LOAN,0,16.24,C,3,10.98,5866.56,3069.92,0.0,244.46,Northern-Irl,-4133.44,0,2013,0.13883089770354906,10.3
10166868,2013,2013-12-01,1012016,0.5,MORTGAGE,3,Low,72000,1,30000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,10.99,B,2,24.25,23565.4,18886.09,0.0,982.02,cannught,-6434.5999999999985,0,2013,0.13883089770354906,2.4
34342326,2014,2014-11-01,1052015,9.0,MORTGAGE,3,Medium,180000,2,19875,60,2,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,12.39,C,3,28.8,21232.0,19875.0,0.0,446.04,leinster,1357.0,0,2014,0.07904642409033877,9.056603773584905
6326943,2013,2013-07-01,1122015,10.0,MORTGAGE,3,Low,90000,1,28000,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,12.35,B,2,18.78,27105.8,21718.33,0.0,934.69,leinster,-894.2000000000007,0,2013,0.13883089770354906,3.2142857142857144
1498398,2012,2012-09-01,1112013,10.0,MORTGAGE,3,Low,93000,1,15250,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,18.75,D,4,17.05,18101.16,15250.0,0.0,557.08,leinster,2851.16,0,2012,0.15946336078797657,6.098360655737705
1416565,2012,2012-07-01,1032014,10.0,MORTGAGE,3,Low,80000,1,20000,60,2,INDIVIDUAL,1,home_improvement,7,High,2,GOOD LOAN,0,18.75,D,4,7.46,25338.5444,20000.0,0.0,516.07,Northern-Irl,5338.544399999999,0,2012,0.15946336078797657,4.0
3375401,2013,2013-03-01,1112015,5.0,RENT,1,Medium,192000,2,10000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,12.12,B,2,8.0,11947.9,10000.0,0.0,332.72,cannught,1947.8999999999996,0,2013,0.13883089770354906,19.2
5650529,2013,2013-06-01,1012016,3.0,OWN,2,Low,30000,1,8000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,10.16,B,2,12.28,8020.94,6738.57,0.0,258.74,Northern-Irl,20.9399999999996,0,2013,0.13883089770354906,3.75
514640,2010,2010-05-01,1082011,2.0,RENT,1,Low,60000,1,15000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,10.99,B,2,6.94,16614.79,15000.0,0.0,491.01,ulster,1614.7900000000009,0,2010,0.14953933380581147,4.0
660367,2011,2011-01-01,1022014,0.5,RENT,1,Low,62040,1,13400,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,13.06,C,3,18.84,16263.54,13400.0,0.0,451.89,leinster,2863.540000000001,0,2011,0.15083210448704445,4.629850746268657
8960418,2013,2013-11-01,1122015,7.0,RENT,1,Low,58450,1,9000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,10.99,B,2,22.92,7360.9,5927.52,0.0,294.61,cannught,-1639.1000000000004,0,2013,0.13883089770354906,6.4944444444444445
3637249,2013,2013-03-01,1012016,1.0,RENT,1,Low,70000,1,24000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,19.72,D,4,33.01,20876.06,10298.27,0.0,632.12,munster,-3123.9399999999987,0,2013,0.13883089770354906,2.9166666666666665
28462649,2014,2014-10-01,1012016,9.0,MORTGAGE,3,Medium,110000,2,14500,60,2,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,11.67,B,2,11.2,4802.1,2877.76,0.0,320.14,Northern-Irl,-9697.9,0,2014,0.07904642409033877,7.586206896551724
34783518,2014,2014-11-01,1062015,10.0,MORTGAGE,3,Medium,112000,2,35000,60,2,INDIVIDUAL,1,home_improvement,7,High,2,BAD LOAN,1,21.99,E,5,1.39,6701.15,2404.66,0.0,966.47,cannught,-28298.85,1,2014,0.07904642409033877,3.2
3486267,2013,2013-03-01,1072015,10.0,MORTGAGE,3,Low,97000,1,35000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,21.0,E,5,7.81,49694.38278,35000.0,0.0,946.87,ulster,14694.38278,0,2013,0.13883089770354906,2.7714285714285714
3700088,2013,2013-03-01,1122015,0.5,MORTGAGE,3,Medium,110000,2,2400,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,15.31,C,3,29.48,2757.26,2155.55,0.0,83.57,leinster,357.2600000000002,0,2013,0.13883089770354906,45.833333333333336
1249449,2012,2012-04-01,1022015,7.0,MORTGAGE,3,Low,35880,1,7400,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,13.11,B,2,19.33,8976.805078,7400.0,0.0,249.73,cannught,1576.8050779999994,0,2012,0.15946336078797657,4.848648648648648
